"startDateTime","endDateTime","tempSingleMean","tempSingleMinimum","tempSingleMaximum","tempSingleVariance","tempSingleNumPts","tempSingleExpUncert","tempSingleStdErMean","finalQF"
"2015-04-08T08:00:00Z","2015-04-08T08:30:00Z",18.82866153650207508007952128536999225616,18.54685000162419328262330964207649230957,19.12970200690099886742245871573686599731,0.0281873472605376589050774072120475466363,1800,0.0146332243930642653950702225529312272556,0.003957225968650939819382106321654646308161,1
"2015-04-08T08:30:00Z","2015-04-08T09:00:00Z",18.34538751817770219076919602230191230773,18.15339572080286245636671083047986030578,18.55109994344096691065715276636183261871,0.0132740286386610617519465904479147866368,1800,0.013592411462820851511534847588791308226,0.00271559576424984516762606290285475552082,1
"2015-04-08T09:00:00Z","2015-04-08T09:30:00Z",18.00557576162305650768757914192974567413,17.89625508541175946675139130093157291412,18.15429641163748897270124871283769607543,0.005006305672478028080674139488337459624744,1800,0.0130266292130014581240882165502625866793,0.00166771728094256433544417816960958589334,1
"2015-04-08T09:30:00Z","2015-04-08T10:00:00Z",17.74730030602421493313158862292766571044,17.59851864896450024389196187257766723632,17.89764321739250263476606050971895456314,0.007555484518433953217142473590683948714286,1800,0.0131890914467771066392876022632663080003,0.002048778025831489088548487131902220426127,1
"2015-04-08T10:00:00Z","2015-04-08T10:30:00Z",17.53442533671089265112641442101448774337,17.4974783645384945884870830923318862915,17.60133570320018492338931537233293056488,0.000822498132877929753921375510827829202753,1800,0.0127280316342037701227152268756981357,0.000675975892435821631466785763819871135638,1
"2015-04-08T10:30:00Z","2015-04-08T11:00:00Z",17.47340468281585046383952430915087461471,17.31507624982732096441395697183907032012,17.58677325305036021063642692752182483673,0.008054151079051148284793093523603602079674,1800,0.0132204926803127908313539862206198449712,0.002115308104567899250003648603524197824299,1
"2015-04-08T11:00:00Z","2015-04-08T11:30:00Z",17.23246426991685353868888341821730136871,17.15035920689960491358760918956249952316,17.31570220577228980118889012373983860015,0.001618208216167280793021387985675119125517,1800,0.01278122853419579735279043575246760156,0.000948158512347686680855896046438147095614,1
"2015-04-08T11:30:00Z","2015-04-08T12:00:00Z",17.13884245895690838779046316631138324737,17.11775492180785107620977214537560939788,17.17010663857345420524325163569301366806,0.000222572065174812523755815130144242175447,1800,0.0126780648915136174431639304316377092618,0.000351640650834541981881870009729595949465,1
"2015-04-08T12:00:00Z","2015-04-08T12:30:00Z",17.27262001295370907882897881790995597839,17.16638955611642458620735851582139730453,17.43709381504757516268000472337007522583,0.005804046153743154697057793356407273677177,1800,0.0130700410793189135405523160216034739278,0.001795680953124152105099264886689525155816,1
"2015-04-08T12:30:00Z","2015-04-08T13:00:00Z",18.21542652637674919446908461395651102066,17.43519535184989877052430529147386550903,19.37100105574068109604013443458825349807,0.3523107549369515756332305045361863449215,1800,0.0302638791667784803895990819455619202926,0.0139902893889724579123967629357139230705,1
"2015-04-08T13:00:00Z","2015-04-08T13:30:00Z",20.43134977253745176994925714097917079925,19.37252845323128624954733822960406541824,21.58741044407063824905890214722603559494,0.3981796392956733487977771801524795591831,1800,0.031893077852882333045325680132009438239,0.0148731607508228898251179117551146191544,1
"2015-04-08T13:30:00Z","2015-04-08T14:00:00Z",23.01160693666965428860748943407088518142,21.58854844193130162466331967152655124664,24.52908737838691166643911856226623058319,0.7332789665873336026891138317296281456947,1800,0.0418479854707076853737035548874700907617,0.0201835874823984087744754845061834203079,1
"2015-04-08T14:00:00Z","2015-04-08T14:30:00Z",25.54657834656121906391490483656525611877,24.52487058596273072907933965325355529785,26.33695657988231531021483533550053834915,0.2740790975443929133881226789526408538222,1800,0.0273472201975832468479055137322575319558,0.012339617712978001931589666639865754405,1
"2015-04-08T14:30:00Z","2015-04-08T15:00:00Z",27.10794933073566781445151718799024820327,26.33797793160746891771850641816854476928,27.84238224011340179231410729698836803436,0.1642688618520512233711627914090058766305,1800,0.0225478657977731568318180421783836209215,0.009553035057336236104963411719381838338449,1
"2015-04-08T15:00:00Z","2015-04-08T15:30:00Z",28.32247185379315723707804863806813955307,27.84275545373410665206392877735197544097,28.61103472064859332135711156297475099563,0.0472534786454586186454918106392142362892,1800,0.0160644083202742468663437591658293968066,0.005123663980084012734006471134762250585481,1
"2015-04-08T15:30:00Z","2015-04-08T16:00:00Z",28.94545953297030393969180295243859291076,28.58373220136105175015472923405468463897,29.37415528745302140123385470360517501831,0.0507217645033205544180532342579681426286,1800,0.0162981208020051837603858757574926130473,0.005308366797556504472488381196626505698077,1
"2015-04-08T16:00:00Z","2015-04-08T16:30:00Z",29.54765816962721913796485750935971736907,29.37193553438639526120823575183749198913,29.80369876946458873590017901733517646789,0.0124308309792832468593237749132640601601,1800,0.0136879381346739804892198577590534114278,0.002627930214201456594891315177164869965054,1
"2015-04-08T16:30:00Z","2015-04-08T17:00:00Z",30.11835196916671364419926248956471681594,29.8043271832975662505305081140249967575,30.41585036488891446992965938989073038101,0.0328829185946023297426599185655504697933,1800,0.0151032441637600368250504700995406892616,0.004274141797848125638725758079772276687435,1
