"startDateTime","endDateTime","tempSingleMean","tempSingleMinimum","tempSingleMaximum","tempSingleVariance","tempSingleNumPts","tempSingleExpUncert","tempSingleStdErMean","finalQF"
"2015-05-11T02:00:00Z","2015-05-11T02:30:00Z",24.971047781622949912616604706272482872,24.9395605509797064769372809678316116333,25.00297448576129255570776876993477344512,0.000243213292443142609176170987339560269901,1800,0.0127948417699635975941507837205790565349,0.000367584678409949320784799731143266399158,1
"2015-05-11T02:30:00Z","2015-05-11T03:00:00Z",24.83559388410210289066526456736028194427,24.61746621003237578406697139143943786621,24.96351272155528278062774916179478168487,0.0102732282906114521375817716375422605779,1800,0.0134796063407431852831930285674388869665,0.002389005870721061259437378865300161123741,1
"2015-05-11T03:00:00Z","2015-05-11T03:30:00Z",24.31013051101601973869037465192377567291,24.08275297131623915447562467306852340698,24.61831016248340375796033185906708240509,0.0243946978005475066664242689284947118721,1800,0.0144578934326765416035209810274864139501,0.003681386951842071340867956763531765318475,1
"2015-05-11T03:30:00Z","2015-05-11T04:00:00Z",23.83671688265968313658049737568944692611,23.53501690940409929453380755148828029632,24.08410616135428483630676055327057838439,0.02575977643130675232008286457130452618,1800,0.0145410831181226746222634460536937694996,0.003782986506225144603121623987362909247167,1
"2015-05-11T04:00:00Z","2015-05-11T04:30:00Z",23.16838573867674000439365045167505741119,22.84936321182135543494950979948043823242,23.5363698723869241291595244547352194786,0.0422942129818130452267865848625660873949,1800,0.0156689364012611992427181917264533694833,0.004847348243101183735970227672851251554675,1
"2015-05-11T04:30:00Z","2015-05-11T05:00:00Z",22.62334514944223684551616315729916095733,22.41778962484183423953254532534629106521,22.85350354193765909371904854197055101394,0.0136020563071781036557084121341176796704,1800,0.0136717101635537643944395824746607104316,0.00274894487911858274517551414817262411816,1
"2015-05-11T05:00:00Z","2015-05-11T05:30:00Z",22.24838709910403267144829442258924245834,22.08230987774794584765913896262645721435,22.42914961153578445873790769837796688079,0.009830115854449320705876758097474521491676,1800,0.0134143867127758942281445797561900690197,0.002336915803937759852221267564686968398746,1
"2015-05-11T05:30:00Z","2015-05-11T06:00:00Z",22.02410009219707731631388014648109674453,21.93325798120560676807144773192703723907,22.08888142996153192143538035452365875244,0.002130751597131004971413803517066298809368,1800,0.01288610267795904477938773169398700702,0.001088003165112584992926803018065129435854,1
"2015-05-11T06:00:00Z","2015-05-11T06:30:00Z",21.85375980687948427316769084427505731582,21.68698698868169927322924195323139429092,21.97191697949652677834819769486784934997,0.005954283627124828948140589091053698211908,1800,0.0131404150381551881182629060162980749737,0.001818773033779279161073483273014517180854,1
"2015-05-11T06:30:00Z","2015-05-11T07:00:00Z",21.40587968554913445018428319599479436874,21.14559556781241056455655780155211687088,21.68928263842601822375399933662265539169,0.0253715759660247328066695615689241094514,1800,0.0144836082697509735406349307140771998092,0.003754373447211245551358160810195840895175,1
"2015-05-11T07:00:00Z","2015-05-11T07:30:00Z",20.93915781671806897179521911311894655227,20.69728841250127970852190628647804260253,21.14675219785029014474275754764676094055,0.0144843137851019352485559821275273861829,1800,0.0137115551494678775817925853175438533071,0.002836695435136330802061710443240372114814,1
