"startDateTime","endDateTime","windSpeedMean","windSpeedMinimum","windSpeedMaximum","windSpeedVariance","windSpeedNumPts","windSpeedExpUncert","windSpeedStdErMean","windSpeedFinalQF","windDirMean","windDirVariance","windDirNumPts","windDirExpUncert","windDirStdErMean","windDirFinalQF"
"2015-04-01T00:00:00Z","2015-04-01T00:30:00Z",0.9825782548617129075196885423792991787195,0.0500000006999999982437721257610974134877,2.68881015982906612649117050750646740198,0.2339796807496565267392441000993130728602,1800,0.0545619241175696809142969812000956153497,0.011401259207981675677934241264210868394,0,182.248378497633154893264872953295707702,4369.183712106514576589688658714294433593,1800,0.0720699883400849755643591265652503352612,0.0271078398164054795715927070887119043618,1
"2015-04-01T00:30:00Z","2015-04-01T01:00:00Z",0.8464969427482217367852967981889378279447,0.009999999779999999352519957085405621910467,2.49721845416054977206954390567261725664,0.1638241575446756082001797949487809091806,1800,0.0508517171840205950417157509946264326572,0.009540095432339926184717171508964383974671,0,229.349811075347702171711716800928115844,943.620656791119472472928464412689208984,1800,0.0720699883400849755643591265652503352612,0.0139860077398233726558851586219134333077,1
"2015-04-01T01:00:00Z","2015-04-01T01:30:00Z",0.9172113418593220712793367965787183493375,0.0199999995999999985452078021808119956403,2.82242803766544358978762829792685806751,0.2022269888349799427107456040175748057663,1796,0.0571565345033805197183518487236142391338,0.0106112462096554175522422625022045394871,0,249.932838896202241585342562757432460784,5468.419469299631600733846426010131835937,1796,0.0720699883400849755643591265652503352612,0.0347968335905752892966980027722456725314,1
"2015-04-01T01:30:00Z","2015-04-01T02:00:00Z",0.9802618245562102483603439395665191113948,0.0223606793188400286565009622563593438826,4.11831274237399469484444125555455684661,0.3539437823347764133785631202044896781444,1800,0.0825063358823293208077487292939622420817,0.0140226757300606266060105653536993486341,0,212.771760723076255317209870554506778717,1918.586192796350587741471827030181884765,1800,0.0720699883400849755643591265652503352612,0.0181821367271444919722078736867842962965,1
"2015-04-01T02:00:00Z","2015-04-01T02:30:00Z",0.8759735020610130984408669974072836339473,0.0700000003000000037278738318491377867758,4.77880736215219226181716294377110898494,0.2907523383831810970256981363490922376513,1800,0.0955009753018425527892887316738779190927,0.0127094089901751555737874355145322624593,0,230.764927817612289118187618441879749298,3279.23304139566562298568896949291229248,1800,0.0720699883400849755643591265652503352612,0.0244319365068288128772788780906921601854,1
"2015-04-01T02:30:00Z","2015-04-01T03:00:00Z",0.928749971871508761545044308149954304099,0.0640312423587111184675180197700683493167,2.68882879049596690279599897621665149927,0.1688236676346339948384667195568908937275,1800,0.0545622855126750364029852846670110011473,0.009684571568411560332778620363569643814116,0,244.399129707908429054441512562334537506,1319.415374199012148892506957054138183593,1800,0.0720699883400849755643591265652503352612,0.0155812021342890023867244764232964371331,1
"2015-04-01T03:00:00Z","2015-04-01T03:30:00Z",0.8988914875565975348692404622852336615324,0.0632455518435881963723588228276639711111,2.55925773828663105646796793735120445489,0.1453584559055958180806555901654064655303,1800,0.0520516815820146125370904144347150577232,0.008986361762433727265464433742181427078321,0,255.861994637630232318770140409469604492,1707.366377109322456817608326673507690429,1800,0.0720699883400849755643591265652503352612,0.0170029840827580283613151834742893697693,1
"2015-04-01T03:30:00Z","2015-04-01T04:00:00Z",0.9579083853092050793165412869711872190237,0.0316227758680353784881411627338820835575,2.73007327908684516160064958967268466949,0.1613275402729285878944409660107339732348,1800,0.055362607062808655289387615994201041758,0.009467122649608913226293438469838292803615,0,234.818937300085764263712917454540729522,1001.497804614451638371974695473909378051,1800,0.0720699883400849755643591265652503352612,0.0131162919949963010374238692179460485931,1
"2015-04-01T04:00:00Z","2015-04-01T04:30:00Z",0.9014154448039146672044807928614318370819,0.009999999779999999352519957085405621910467,5.84945288747588865163606897112913429737,0.4083389921067369643381539390247780829668,1800,0.1449285989890573556060360260744346305727,0.0150617062650568855203259133190840657334,0,246.183481417239164557031472213566303253,1239.478878670282256280188448727130889892,1800,0.0720699883400849755643591265652503352612,0.0150906644419470208073885686417270335368,1
"2015-04-01T04:30:00Z","2015-04-01T05:00:00Z",0.9024782281800809435878818476339802145957,0,3.37379606971138823467981637804768979549,0.276729395083291196399954969820100814104,1800,0.0679091444051777987089835164624673780053,0.0123991351643592730841225701965413463767,0,216.306273826742085475416388362646102905,5201.355843941896637261379510164260864257,1800,0.0720699883400849755643591265652503352612,0.0302783639887608951868358531100966501981,1
"2015-04-01T05:00:00Z","2015-04-01T05:30:00Z",0.7845323824899962383838669666147325187921,0,2.60599314419666194808655745873693376779,0.2245941007903321795513562619817093946039,1800,0.0529565747890433924371933471775264479219,0.0111702506882823994482922813631375902332,0,252.407237979763465318683302029967308044,4692.367579706758988322690129280090332031,1800,0.0720699883400849755643591265652503352612,0.0323494284413111260478856934241775888949,1
"2015-04-01T05:30:00Z","2015-04-01T06:00:00Z",0.8852365308484901884611417699488811194896,0.0282842706817764723281616312533515156246,2.23056048769586157121125324920285493135,0.1485863572743889304828002195790759287774,1795,0.045712726660223308716712864452347275801,0.009098236912506406370848566211861907504498,0,252.922741880816204229631694033741950988,1128.054188839676044153748080134391784667,1795,0.0720699883400849755643591265652503352612,0.0151477090947671234888449731670334585942,1
"2015-04-01T06:00:00Z","2015-04-01T06:30:00Z",0.7586357018893543635584819639916531741619,0,1.94486505840379586551591728493804112076,0.1441294425805732526413294181111268699169,1800,0.0402504335738786273024558681754569988697,0.008948291040459228559700299854284821776673,0,255.990695069475037826123298145830631256,4435.317091576464918034616857767105102539,1800,0.0720699883400849755643591265652503352612,0.0325268658411075675673806983922986546531,1
